user_id,night_plays
user_62,7
user_60,6
user_72,6
user_84,6
user_19,5
user_51,5
user_6,5
user_76,5
user_94,5
user_18,4
user_40,4
user_5,4
user_55,4
user_56,4
user_83,4
user_9,4
user_98,4
user_99,4
user_2,3
user_20,3
user_3,3
user_33,3
user_36,3
user_37,3
user_52,3
user_53,3
user_58,3
user_61,3
user_67,3
user_68,3
user_70,3
user_75,3
user_86,3
user_10,2
user_100,2
user_11,2
user_13,2
user_15,2
user_16,2
user_21,2
user_24,2
user_30,2
user_31,2
user_35,2
user_41,2
user_42,2
user_44,2
user_46,2
user_47,2
user_49,2
user_57,2
user_59,2
user_65,2
user_7,2
user_74,2
user_78,2
user_8,2
user_81,2
user_92,2
user_93,2
user_95,2
user_1,1
user_12,1
user_17,1
user_23,1
user_25,1
user_26,1
user_27,1
user_28,1
user_29,1
user_32,1
user_38,1
user_39,1
user_4,1
user_45,1
user_48,1
user_50,1
user_54,1
user_73,1
user_77,1
user_79,1
user_87,1
user_88,1
user_90,1
user_91,1
user_96,1
user_97,1
